"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
475,12,24,5,192,1024,256,3,5242880
476,12,12,3,256,1024,10,2,2097152
477,48,20,4,32,1024,50,4,20971520
478,12,16,4,224,256,30,1,5242880
479,20,72,1,96,1024,256,2,52428800
480,20,12,2,32,256,256,1,5242880
481,12,72,4,96,256,256,1,20971520
482,24,48,5,64,256,256,3,20971520
483,72,48,3,96,1024,50,2,52428800
484,24,48,5,224,1024,256,3,10485760
485,20,48,2,96,1024,50,1,20971520
486,32,72,1,192,1024,256,3,5242880
487,72,72,5,96,256,256,3,20971520
488,32,12,1,160,256,50,1,20971520
489,72,48,2,224,1024,256,3,52428800
490,48,72,3,128,256,50,3,2097152
491,24,48,3,256,1024,50,3,52428800
492,48,24,4,224,256,256,3,20971520
493,48,48,3,192,256,50,3,5242880
494,72,48,2,96,256,50,2,52428800
495,48,12,4,64,1024,50,3,10485760
496,48,72,4,96,256,256,1,52428800
497,12,48,1,96,1024,50,3,20971520
498,12,48,4,96,256,256,1,2097152
499,48,12,4,96,1024,50,3,20971520
500,48,48,4,160,256,50,3,20971520
501,8,12,2,32,256,50,2,20971520
502,72,48,3,256,256,50,3,52428800
503,48,48,3,256,1024,256,3,10485760
504,72,32,3,256,1024,50,3,20971520
505,72,32,2,128,256,50,4,20971520
506,72,72,4,96,1024,256,4,10485760
507,32,24,3,96,1024,30,1,2097152
508,48,48,2,96,1024,50,1,5242880
509,72,32,1,96,1024,256,2,1048576
510,48,48,1,64,256,10,3,52428800
511,32,8,5,160,256,50,3,20971520
512,48,32,4,64,256,256,3,20971520
513,8,16,2,160,256,50,1,5242880
514,48,48,3,256,1024,256,4,2097152
515,48,32,5,96,256,50,3,52428800
516,20,48,2,160,1024,256,3,20971520
517,20,8,1,128,1024,50,4,20971520
518,8,24,2,96,1024,256,1,2097152
519,32,48,2,128,256,50,2,5242880
520,48,72,1,128,256,30,3,20971520
521,48,48,4,192,256,50,3,2097152
522,24,72,1,128,256,50,3,2097152
523,72,72,2,192,256,50,2,20971520
524,72,72,2,224,256,50,3,52428800
525,72,72,5,160,1024,50,2,5242880
526,72,24,5,256,1024,256,1,5242880
527,48,32,2,32,256,256,3,20971520
528,48,20,5,192,1024,256,4,20971520
529,48,32,4,64,1024,50,4,20971520
530,32,48,4,64,1024,30,2,20971520
531,72,32,4,128,1024,50,2,52428800
532,16,48,1,96,1024,256,4,20971520
533,12,48,1,192,256,256,2,52428800
534,24,48,5,224,256,30,4,10485760
535,48,24,2,192,1024,10,1,5242880
536,72,32,5,128,1024,50,2,20971520
537,72,72,4,64,256,30,1,20971520
538,48,72,3,160,1024,50,2,52428800
539,12,72,1,96,256,50,4,5242880
540,16,72,3,64,256,50,3,52428800
541,48,32,4,64,256,50,4,20971520
542,48,12,2,224,1024,50,3,10485760
543,16,48,3,192,256,256,2,2097152
544,48,48,3,160,1024,256,2,20971520
545,48,48,1,160,256,10,3,20971520
546,48,32,4,160,1024,50,3,10485760
547,72,48,1,32,256,50,2,10485760
548,72,16,4,128,1024,256,3,52428800
549,24,48,2,128,1024,30,2,1048576
550,48,24,4,64,1024,256,2,52428800
551,8,48,3,128,1024,30,3,20971520
552,48,32,5,160,256,50,3,20971520
553,48,48,4,96,1024,256,4,52428800
554,48,48,1,160,256,256,2,20971520
555,24,24,1,64,256,256,3,52428800
556,8,48,5,192,256,50,2,20971520
557,48,32,1,128,1024,10,3,52428800
558,48,32,2,96,1024,50,3,52428800
559,48,48,4,160,1024,256,3,2097152
560,48,16,2,224,256,50,2,20971520
561,24,20,3,128,1024,50,4,20971520
562,32,32,3,256,256,256,3,20971520
563,72,16,2,96,1024,256,4,5242880
564,32,48,2,64,256,256,2,5242880
565,12,48,4,64,256,50,2,52428800
566,48,48,4,128,1024,256,3,20971520
567,48,32,3,32,1024,256,2,10485760
568,20,48,2,64,256,50,3,10485760
569,48,48,2,96,1024,256,2,20971520
570,32,48,3,256,1024,256,1,52428800
571,32,32,3,96,1024,256,3,10485760
572,48,8,3,64,1024,256,3,52428800
573,20,48,3,96,1024,50,3,5242880
574,72,8,4,96,1024,256,3,52428800
575,32,72,5,96,1024,256,2,10485760
576,72,48,4,64,1024,50,3,20971520
577,20,32,1,128,256,256,2,20971520
578,72,20,4,192,256,256,3,10485760
579,48,72,3,224,256,256,3,10485760
580,8,72,1,224,1024,256,3,20971520
581,16,48,1,160,1024,30,3,20971520
582,48,48,4,128,1024,256,2,2097152
583,8,32,2,128,1024,256,3,52428800
584,12,72,1,160,1024,10,4,10485760
585,24,48,1,32,256,50,2,20971520
586,48,20,4,32,1024,50,3,52428800
587,72,48,4,96,256,50,2,52428800
588,48,48,2,64,256,50,2,20971520
589,72,72,3,224,256,50,1,5242880
590,32,72,2,128,1024,50,4,52428800
591,16,72,4,96,256,50,4,20971520
592,16,72,4,64,256,50,2,10485760
593,48,8,1,128,256,256,2,20971520
594,24,12,1,128,1024,30,2,52428800
595,48,72,5,192,256,256,3,52428800
596,16,24,2,64,256,50,3,20971520
597,32,72,3,96,256,50,3,52428800
598,12,48,3,128,1024,50,3,52428800
599,12,72,3,96,256,256,2,10485760
600,48,72,4,64,1024,30,2,52428800
601,32,48,2,96,1024,50,2,10485760
602,48,32,2,160,256,50,2,52428800
603,72,48,5,192,1024,256,4,52428800
604,16,72,2,128,1024,50,4,52428800
605,48,24,4,224,1024,256,3,20971520
606,32,48,5,64,256,256,4,20971520
607,16,32,3,224,256,256,4,10485760
608,48,24,4,96,1024,50,4,20971520
609,48,48,2,256,1024,256,3,52428800
610,72,72,4,128,256,256,1,20971520
611,48,48,3,192,256,50,3,10485760
612,24,48,1,96,256,50,4,20971520
613,20,72,2,224,256,256,3,52428800
614,12,72,4,32,1024,50,3,20971520
615,48,48,2,224,256,50,2,5242880
616,32,32,3,64,256,50,3,20971520
617,20,48,3,32,1024,256,3,52428800
618,24,20,3,160,1024,30,3,52428800
619,48,48,2,32,256,30,2,10485760
620,16,16,2,160,1024,50,2,20971520
621,48,24,2,128,1024,256,2,52428800
622,48,16,2,64,1024,50,3,5242880
623,24,24,1,64,256,50,4,20971520
624,48,72,3,160,256,50,3,20971520
625,48,48,2,128,1024,256,3,2097152
626,32,72,4,192,1024,256,2,20971520
627,8,16,3,32,256,256,1,20971520
628,32,32,4,128,256,50,4,52428800
629,32,24,3,160,256,50,4,2097152
630,32,20,2,192,256,30,4,20971520
631,72,24,3,64,256,256,4,52428800
632,32,48,3,160,1024,30,2,52428800
633,72,72,4,192,1024,50,3,52428800
634,72,72,3,128,1024,50,4,52428800
635,48,48,4,224,1024,30,4,52428800
636,20,20,3,192,256,50,2,5242880
637,12,48,2,128,1024,50,2,52428800
638,16,32,3,256,256,256,2,52428800
639,32,20,2,96,1024,256,3,10485760
640,12,20,4,192,1024,10,2,10485760
641,48,16,2,256,1024,50,4,5242880
642,48,72,2,160,256,256,3,10485760
643,48,32,3,96,256,256,3,20971520
644,48,48,2,192,1024,50,3,52428800
645,12,16,1,192,1024,50,4,20971520
646,20,12,1,128,1024,50,1,52428800
647,32,32,2,224,256,50,2,52428800
648,24,32,1,256,256,256,3,52428800
649,48,48,4,256,1024,50,2,20971520
650,32,20,3,32,1024,256,3,20971520
651,72,72,4,160,1024,50,2,5242880
652,24,32,2,64,1024,256,4,20971520
653,32,72,4,32,256,256,2,20971520
654,32,48,5,96,1024,50,2,20971520
655,32,32,2,224,1024,256,1,10485760
656,48,48,2,192,256,30,3,20971520
657,24,48,2,96,1024,50,1,10485760
658,24,48,3,64,256,50,2,2097152
659,48,20,2,192,1024,256,4,52428800
660,32,24,1,224,256,50,1,5242880
661,48,32,4,64,256,256,4,52428800
662,48,48,5,224,1024,50,2,52428800
663,20,72,2,224,256,50,1,52428800
664,8,48,4,96,256,50,3,20971520
665,48,48,2,256,1024,256,3,20971520
666,8,72,4,64,256,50,2,20971520
667,24,16,2,224,1024,50,3,10485760
668,48,48,1,224,1024,256,1,20971520
669,48,24,3,224,256,256,4,20971520
670,72,72,4,64,1024,50,4,5242880
671,12,48,4,128,256,50,3,20971520
672,72,32,3,224,1024,256,2,20971520
673,20,32,3,96,1024,50,2,10485760
674,32,24,3,32,1024,256,3,52428800
675,72,48,3,160,256,50,2,5242880
676,48,72,3,32,1024,50,3,20971520
677,32,12,3,256,256,256,3,5242880
678,48,72,5,32,1024,256,3,52428800
679,24,72,3,64,1024,256,1,52428800
680,48,48,4,192,256,256,3,52428800
681,48,24,3,160,1024,30,3,5242880
682,32,48,4,256,1024,256,1,10485760
683,72,20,3,160,256,256,3,20971520
684,72,32,3,160,1024,256,4,20971520
685,48,48,5,96,256,50,3,52428800
686,48,32,3,128,1024,256,4,20971520
687,24,20,3,32,1024,256,3,20971520
688,32,32,2,160,1024,30,2,10485760
689,12,48,4,192,1024,30,3,52428800
690,72,32,2,32,1024,256,4,10485760
691,12,16,3,160,256,50,2,52428800
692,48,32,2,224,1024,256,3,52428800
693,8,16,1,192,256,256,3,10485760
694,20,48,3,96,256,50,4,20971520
695,16,72,1,192,1024,50,2,52428800
696,32,72,5,128,1024,256,1,52428800
697,20,24,2,64,1024,256,2,20971520
698,48,72,2,160,1024,256,2,10485760
699,72,32,3,192,256,30,4,52428800
700,32,16,2,160,256,256,2,52428800
701,48,32,5,224,256,256,3,20971520
702,12,72,2,128,256,50,1,20971520
703,24,24,2,32,1024,256,3,52428800
704,48,24,1,128,1024,50,3,10485760
705,32,16,3,224,1024,50,4,52428800
706,16,32,4,160,256,50,3,10485760
707,32,48,2,96,256,256,3,20971520
708,12,32,3,96,256,50,2,20971520
709,72,24,1,160,256,10,3,2097152
710,72,20,2,160,256,256,2,52428800
711,32,24,2,224,256,50,3,52428800
712,24,48,3,32,256,256,4,20971520
713,72,48,5,128,1024,256,1,52428800
714,48,24,2,192,256,256,1,52428800
715,32,32,2,128,1024,50,1,10485760
716,48,48,3,32,256,50,2,5242880
717,16,48,4,160,256,256,4,20971520
718,32,48,4,128,1024,256,2,52428800
719,12,48,3,192,256,50,2,52428800
720,72,32,4,128,256,256,3,20971520
721,48,32,2,64,256,50,4,10485760
722,48,16,5,96,1024,256,2,10485760
723,20,72,1,160,1024,256,3,20971520
724,48,48,4,192,1024,50,2,20971520
725,48,32,1,224,256,50,2,20971520
726,72,72,2,96,256,50,1,10485760
727,16,48,2,96,1024,50,2,52428800
728,48,72,3,96,256,10,3,52428800
729,72,48,2,96,256,256,2,52428800
730,16,32,1,192,1024,256,3,20971520
731,72,72,2,256,256,50,4,20971520
732,20,72,3,96,1024,256,2,20971520
733,24,20,4,224,1024,256,1,52428800
734,24,72,4,224,1024,256,2,20971520
735,48,32,4,64,256,50,2,10485760
736,8,24,5,64,1024,256,2,20971520
737,32,48,3,96,1024,30,3,52428800
738,24,48,3,192,1024,50,3,20971520
739,72,32,4,160,256,50,1,52428800
740,48,32,2,256,1024,50,3,20971520
741,48,12,2,192,1024,256,1,10485760
742,48,48,3,160,256,50,2,20971520
743,72,12,2,32,1024,50,2,20971520
744,32,48,4,96,1024,50,3,10485760
745,12,20,4,96,256,256,1,20971520
746,72,24,4,192,256,50,1,20971520
747,16,20,2,32,256,256,2,20971520
748,12,32,2,224,1024,50,2,5242880
749,72,48,5,192,1024,10,1,20971520
750,20,48,4,64,256,50,4,52428800
751,16,32,4,192,256,50,3,52428800
752,48,48,1,160,1024,50,2,5242880
753,48,48,3,224,1024,256,2,52428800
754,12,12,5,128,1024,50,1,20971520
755,20,72,2,128,1024,10,4,20971520
756,48,48,3,128,256,256,1,10485760
757,72,72,3,64,1024,50,1,1048576
758,32,16,2,96,256,50,2,52428800
759,20,48,3,128,1024,50,2,20971520
760,20,32,3,64,256,50,1,10485760
761,72,48,5,128,256,256,3,52428800
762,48,48,4,64,1024,256,2,20971520
763,72,48,4,192,256,256,3,20971520
764,32,72,4,32,1024,50,2,20971520
765,32,32,1,192,1024,50,3,10485760
766,16,48,4,128,256,256,3,52428800
767,20,72,2,96,256,256,2,10485760
768,48,24,2,128,256,50,2,52428800
769,48,32,5,64,1024,256,3,20971520
770,32,16,3,192,256,256,1,5242880
771,48,8,5,128,1024,50,3,20971520
772,32,72,3,224,1024,50,3,20971520
773,48,48,3,192,256,50,2,52428800
774,72,48,4,128,256,256,2,52428800
775,8,48,1,64,1024,50,2,20971520
776,48,32,4,96,1024,50,3,20971520
777,16,32,3,96,1024,256,4,52428800
778,48,48,3,224,256,50,4,5242880
779,32,48,3,224,256,30,2,2097152
780,32,20,2,256,256,50,2,5242880
781,24,48,3,224,256,256,3,1048576
782,24,48,4,160,1024,50,1,20971520
783,24,48,1,160,256,50,3,10485760
784,32,32,4,160,1024,50,3,5242880
785,48,32,5,224,256,256,2,52428800
786,16,32,5,96,256,256,4,20971520
787,16,48,3,64,256,50,3,20971520
788,32,8,3,192,256,10,3,20971520
789,72,8,1,256,1024,256,3,20971520
790,12,32,4,160,1024,30,2,10485760
791,72,72,3,224,256,256,1,20971520
792,24,32,5,128,1024,50,1,20971520
793,48,24,1,160,256,256,2,52428800
794,48,48,4,224,256,256,2,20971520
795,16,20,3,224,1024,256,2,52428800
796,32,72,4,128,1024,50,2,10485760
797,72,16,4,192,1024,50,2,52428800
798,16,72,5,64,256,50,4,52428800
799,48,48,4,192,256,256,3,20971520
800,48,32,1,128,1024,50,2,10485760
801,48,48,5,64,256,256,1,20971520
802,48,48,2,192,1024,256,3,52428800
803,72,32,4,96,256,256,2,20971520
804,16,48,2,224,256,50,2,20971520
805,48,72,3,192,256,256,1,52428800
806,24,32,2,96,1024,256,1,20971520
807,12,48,2,64,1024,50,3,2097152
808,48,48,2,64,1024,50,2,10485760
809,48,16,3,128,256,256,4,10485760
810,48,48,4,192,256,50,2,52428800
811,72,48,3,160,256,50,4,52428800
812,48,20,5,256,1024,50,2,52428800
813,48,48,4,160,1024,256,3,20971520
814,32,72,4,128,256,50,2,20971520
815,16,20,1,192,1024,256,2,20971520
816,12,32,5,256,1024,256,3,20971520
817,72,48,3,192,256,256,3,52428800
818,32,12,2,224,1024,256,2,5242880
819,48,48,1,160,256,50,4,5242880
820,72,32,3,224,1024,256,3,20971520
821,48,72,2,64,256,256,2,20971520
822,48,32,4,96,1024,50,2,20971520
823,48,16,2,96,256,256,4,1048576
824,48,48,3,192,256,256,4,5242880
825,12,24,2,32,1024,50,4,52428800
826,32,72,3,224,1024,50,3,20971520
827,48,48,4,160,256,256,4,20971520
828,12,48,3,64,1024,30,1,20971520
829,48,12,1,192,1024,256,1,52428800
830,72,48,1,224,256,50,3,2097152
831,48,48,2,224,256,50,3,52428800
832,16,72,1,192,1024,50,3,10485760
833,20,72,4,32,1024,256,2,52428800
834,24,32,2,96,256,50,2,52428800
835,32,12,1,192,256,256,3,5242880
836,48,16,5,160,1024,50,3,20971520
837,48,48,4,224,256,256,4,52428800
838,20,72,5,96,256,50,2,52428800
839,32,20,5,64,256,50,4,52428800
840,48,12,3,64,256,256,1,10485760
841,32,72,3,192,256,50,2,20971520
842,48,72,3,128,1024,256,1,52428800
843,20,32,2,192,1024,30,4,52428800
844,48,16,5,128,256,256,1,20971520
845,32,48,4,96,1024,256,3,52428800
846,48,48,1,256,1024,256,1,52428800
847,48,12,3,128,256,256,1,10485760
848,48,48,2,64,1024,50,4,5242880
849,32,48,1,160,1024,30,1,52428800
850,72,16,2,224,1024,50,2,20971520
851,12,48,2,96,1024,50,3,20971520
852,24,72,5,128,256,256,4,10485760
853,48,12,4,192,1024,256,2,20971520
854,48,48,5,128,256,256,3,20971520
855,32,72,4,96,1024,30,4,52428800
856,72,24,1,224,256,30,4,52428800
857,16,48,3,128,256,256,2,20971520
858,72,48,3,224,256,256,3,5242880
859,48,32,5,224,256,256,2,20971520
860,48,48,3,256,256,256,4,20971520
861,48,48,2,64,1024,256,2,52428800
862,12,16,3,224,1024,50,2,2097152
863,12,48,1,224,1024,50,3,52428800
864,8,48,2,224,1024,256,3,52428800
865,24,12,2,192,1024,50,1,20971520
866,20,48,5,64,256,256,2,2097152
867,72,48,1,32,256,30,2,52428800
868,48,32,3,160,1024,50,2,1048576
869,24,24,3,128,256,50,2,52428800
870,48,12,4,256,256,256,2,20971520
871,24,72,3,64,1024,50,1,52428800
872,24,72,4,256,1024,50,2,10485760
873,72,32,3,256,1024,256,1,20971520
874,12,72,5,224,256,50,3,10485760
875,16,72,2,224,256,50,3,52428800
876,72,48,3,224,256,256,3,2097152
877,72,8,2,160,256,256,2,20971520
878,16,48,2,64,256,50,2,52428800
879,48,72,3,96,1024,50,2,52428800
880,72,16,1,160,1024,50,4,20971520
881,12,48,4,160,1024,256,1,52428800
882,32,48,4,160,1024,256,3,52428800
883,32,48,3,192,256,50,3,20971520
884,48,72,4,96,256,10,2,2097152
885,48,32,2,192,1024,10,3,20971520
886,72,20,3,96,1024,50,1,52428800
887,48,72,3,96,256,256,3,20971520
888,8,16,4,96,256,50,2,20971520
889,72,72,4,160,256,50,2,10485760
890,20,48,3,96,1024,256,2,20971520
891,32,48,2,96,256,256,3,52428800
892,48,8,3,96,1024,50,2,52428800
893,72,48,5,192,256,50,2,20971520
894,12,32,1,192,256,50,3,20971520
895,72,12,1,224,1024,256,2,52428800
896,12,72,3,192,1024,256,3,10485760
897,24,12,5,128,256,30,3,20971520
898,20,8,2,160,1024,256,2,52428800
899,48,72,4,160,1024,50,4,52428800
900,32,48,4,128,1024,256,3,20971520
901,72,32,4,96,256,10,2,10485760
902,48,16,3,128,1024,50,2,20971520
903,24,32,2,224,1024,256,2,10485760
904,72,48,2,96,256,256,4,20971520
905,72,72,1,160,256,256,4,20971520
906,24,48,5,256,1024,30,3,20971520
907,48,48,2,128,256,30,4,52428800
908,48,48,5,96,1024,256,3,52428800
909,12,48,4,160,1024,50,3,20971520
910,48,48,2,64,256,50,3,52428800
911,48,48,5,128,1024,256,4,5242880
912,72,32,4,224,256,50,1,5242880
913,48,32,3,128,1024,50,3,52428800
914,16,48,4,224,256,50,4,20971520
915,24,24,4,96,256,50,1,20971520
916,32,20,5,128,1024,256,2,2097152
917,72,48,3,192,256,256,3,10485760
918,72,72,1,160,256,256,3,10485760
919,24,32,3,64,1024,50,2,2097152
920,24,20,3,256,1024,256,2,52428800
921,48,72,2,128,256,50,4,20971520
922,32,32,4,192,256,50,1,52428800
923,32,72,3,224,1024,256,1,20971520
924,32,24,5,96,1024,30,2,52428800
925,12,32,2,128,256,256,1,52428800
926,32,32,4,96,1024,50,2,20971520
